train_id,station,expected_arrival,actual_arrival
BART003,MONTG,2026-04-25 07:23:00,2026-04-25 07:23:39
BART003,POWEL,2026-04-25 07:25:00,2026-04-25 07:26:08
BART003,CIVIC,2026-04-25 07:27:00,2026-04-25 07:29:06
BART003,16ST,2026-04-25 07:29:00,2026-04-25 07:30:58
BART003,24ST,2026-04-25 07:31:00,2026-04-25 07:33:05
BART003,GLNPK,2026-04-25 07:34:00,2026-04-25 07:36:45
BART003,BALPK,2026-04-25 07:36:00,2026-04-25 07:39:29
BART003,DALY,2026-04-25 07:40:00,2026-04-25 07:43:47
BART004,DUBLIN,2026-04-25 06:55:00,2026-04-25 06:55:25
BART004,W DUB,2026-04-25 06:58:00,2026-04-25 06:58:26
BART004,CVLY,2026-04-25 07:09:00,2026-04-25 07:09:34
BART004,BFAIR,2026-04-25 07:13:00,2026-04-25 07:13:30
BART004,SLEAN,2026-04-25 07:17:00,2026-04-25 07:17:42
BART004,COLIS,2026-04-25 07:21:00,2026-04-25 07:21:34
BART004,FRTVL,2026-04-25 07:25:00,2026-04-25 07:25:25
BART004,LAKEM,2026-04-25 07:29:00,2026-04-25 07:29:36
BART004,W OAK,2026-04-25 07:35:00,2026-04-25 07:35:33
BART004,EMBAR,2026-04-25 07:42:00,2026-04-25 07:42:47
BART004,MONTG,2026-04-25 07:43:00,2026-04-25 07:44:06
BART004,POWEL,2026-04-25 07:45:00,2026-04-25 07:46:52
BART004,CIVIC,2026-04-25 07:47:00,2026-04-25 07:49:30
BART004,16ST,2026-04-25 07:49:00,2026-04-25 07:51:32
BART004,24ST,2026-04-25 07:51:00,2026-04-25 07:53:30
BART004,GLNPK,2026-04-25 07:54:00,2026-04-25 07:57:09
BART004,BALPK,2026-04-25 07:56:00,2026-04-25 07:59:51
BART004,DALY,2026-04-25 08:00:00,2026-04-25 08:03:46
BART005,DUBLIN,2026-04-25 07:15:00,2026-04-25 07:14:53
BART005,W DUB,2026-04-25 07:18:00,2026-04-25 07:17:54
BART005,CVLY,2026-04-25 07:29:00,2026-04-25 07:28:50
BART005,BFAIR,2026-04-25 07:33:00,2026-04-25 07:33:01
BART005,SLEAN,2026-04-25 07:37:00,2026-04-25 07:36:59
BART005,COLIS,2026-04-25 07:41:00,2026-04-25 07:41:11
BART005,FRTVL,2026-04-25 07:45:00,2026-04-25 07:45:30
BART005,LAKEM,2026-04-25 07:49:00,2026-04-25 07:49:41
BART005,W OAK,2026-04-25 07:55:00,2026-04-25 07:55:51
BART005,EMBAR,2026-04-25 08:02:00,2026-04-25 08:02:43
BART005,MONTG,2026-04-25 08:03:00,2026-04-25 08:04:47
BART005,POWEL,2026-04-25 08:05:00,2026-04-25 08:07:31
BART005,CIVIC,2026-04-25 08:07:00,2026-04-25 08:10:14
BART005,16ST,2026-04-25 08:09:00,2026-04-25 08:12:09
BART005,24ST,2026-04-25 08:11:00,2026-04-25 08:14:13
BART005,GLNPK,2026-04-25 08:14:00,2026-04-25 08:17:38
BART005,BALPK,2026-04-25 08:16:00,2026-04-25 08:20:32
BART005,DALY,2026-04-25 08:20:00,2026-04-25 08:24:44
BART006,DUBLIN,2026-04-25 07:35:00,2026-04-25 07:35:05
BART006,W DUB,2026-04-25 07:38:00,2026-04-25 07:38:02
BART006,CVLY,2026-04-25 07:49:00,2026-04-25 07:49:13
BART006,BFAIR,2026-04-25 07:53:00,2026-04-25 07:53:13
BART006,SLEAN,2026-04-25 07:57:00,2026-04-25 07:57:29
BART006,COLIS,2026-04-25 08:01:00,2026-04-25 08:01:43
BART006,FRTVL,2026-04-25 08:05:00,2026-04-25 08:05:57
BART006,LAKEM,2026-04-25 08:09:00,2026-04-25 08:09:48
BART006,W OAK,2026-04-25 08:15:00,2026-04-25 08:15:45
BART006,EMBAR,2026-04-25 08:22:00,2026-04-25 08:23:01
BART006,MONTG,2026-04-25 08:23:00,2026-04-25 08:24:27
BART006,POWEL,2026-04-25 08:25:00,2026-04-25 08:27:01
BART006,CIVIC,2026-04-25 08:27:00,2026-04-25 08:29:21
BART006,16ST,2026-04-25 08:29:00,2026-04-25 08:31:40
BART006,24ST,2026-04-25 08:31:00,2026-04-25 08:34:00
BART006,GLNPK,2026-04-25 08:34:00,2026-04-25 08:37:51
BART006,BALPK,2026-04-25 08:36:00,2026-04-25 08:40:28
BART006,DALY,2026-04-25 08:40:00,2026-04-25 08:44:24
BART007,DUBLIN,2026-04-25 07:55:00,2026-04-25 07:55:11
BART007,W DUB,2026-04-25 07:58:00,2026-04-25 07:58:16
BART007,CVLY,2026-04-25 08:09:00,2026-04-25 08:09:18
BART007,BFAIR,2026-04-25 08:13:00,2026-04-25 08:13:36
BART007,SLEAN,2026-04-25 08:17:00,2026-04-25 08:17:55
BART007,COLIS,2026-04-25 08:21:00,2026-04-25 08:22:05
BART007,FRTVL,2026-04-25 08:25:00,2026-04-25 08:26:09
BART007,LAKEM,2026-04-25 08:29:00,2026-04-25 08:30:03
BART007,W OAK,2026-04-25 08:35:00,2026-04-25 08:36:01
BART007,EMBAR,2026-04-25 08:42:00,2026-04-25 08:42:55
BART007,MONTG,2026-04-25 08:43:00,2026-04-25 08:44:42
BART007,POWEL,2026-04-25 08:45:00,2026-04-25 08:47:20
BART007,CIVIC,2026-04-25 08:47:00,2026-04-25 08:50:25
BART007,16ST,2026-04-25 08:49:00,2026-04-25 08:52:28
BART007,24ST,2026-04-25 08:51:00,2026-04-25 08:54:46
BART007,GLNPK,2026-04-25 08:54:00,2026-04-25 08:58:21
BART007,BALPK,2026-04-25 08:56:00,2026-04-25 09:00:44
BART007,DALY,2026-04-25 09:00:00,2026-04-25 09:04:38
BART008,DUBLIN,2026-04-25 08:15:00,2026-04-25 08:15:02
BART008,W DUB,2026-04-25 08:18:00,2026-04-25 08:18:07
BART008,CVLY,2026-04-25 08:29:00,2026-04-25 08:28:59
BART008,BFAIR,2026-04-25 08:33:00,2026-04-25 08:33:13
BART008,SLEAN,2026-04-25 08:37:00,2026-04-25 08:37:04
BART008,COLIS,2026-04-25 08:41:00,2026-04-25 08:41:21
BART008,FRTVL,2026-04-25 08:45:00,2026-04-25 08:45:14
BART008,LAKEM,2026-04-25 08:49:00,2026-04-25 08:49:08
BART008,W OAK,2026-04-25 08:55:00,2026-04-25 08:55:18
BART008,EMBAR,2026-04-25 09:02:00,2026-04-25 09:02:13
BART008,MONTG,2026-04-25 09:03:00,2026-04-25 09:04:26
BART008,POWEL,2026-04-25 09:05:00,2026-04-25 09:07:22
BART008,CIVIC,2026-04-25 09:07:00,2026-04-25 09:09:53
BART008,16ST,2026-04-25 09:09:00,2026-04-25 09:11:55
BART008,24ST,2026-04-25 09:11:00,2026-04-25 09:14:04
BART008,GLNPK,2026-04-25 09:14:00,2026-04-25 09:17:39
BART008,BALPK,2026-04-25 09:16:00,2026-04-25 09:20:09
BART008,DALY,2026-04-25 09:20:00,2026-04-25 09:24:26
BART009,DUBLIN,2026-04-25 08:35:00,2026-04-25 08:35:30
BART009,W DUB,2026-04-25 08:38:00,2026-04-25 08:38:20
BART009,CVLY,2026-04-25 08:49:00,2026-04-25 08:49:31
BART009,BFAIR,2026-04-25 08:53:00,2026-04-25 08:53:44
BART009,SLEAN,2026-04-25 08:57:00,2026-04-25 08:57:37
BART009,COLIS,2026-04-25 09:01:00,2026-04-25 09:01:48
BART009,FRTVL,2026-04-25 09:05:00,2026-04-25 09:06:06
BART009,LAKEM,2026-04-25 09:09:00,2026-04-25 09:10:13
BART009,W OAK,2026-04-25 09:15:00,2026-04-25 09:16:27
BART009,EMBAR,2026-04-25 09:22:00,2026-04-25 09:23:25
BART009,MONTG,2026-04-25 09:23:00,2026-04-25 09:25:35
BART009,POWEL,2026-04-25 09:25:00,2026-04-25 09:27:57
BART009,CIVIC,2026-04-25 09:27:00,2026-04-25 09:30:38
BART009,16ST,2026-04-25 09:29:00,2026-04-25 09:32:33
BART009,24ST,2026-04-25 09:31:00,2026-04-25 09:34:37
BART009,GLNPK,2026-04-25 09:34:00,2026-04-25 09:38:12
BART009,BALPK,2026-04-25 09:36:00,2026-04-25 09:41:08
BART009,DALY,2026-04-25 09:40:00,2026-04-25 09:45:21
BART010,DUBLIN,2026-04-25 08:55:00,2026-04-25 08:54:46
BART010,W DUB,2026-04-25 08:58:00,2026-04-25 08:57:52
BART010,CVLY,2026-04-25 09:09:00,2026-04-25 09:09:06
BART010,BFAIR,2026-04-25 09:13:00,2026-04-25 09:13:01
BART010,SLEAN,2026-04-25 09:17:00,2026-04-25 09:17:07
BART010,COLIS,2026-04-25 09:21:00,2026-04-25 09:21:26
BART010,FRTVL,2026-04-25 09:25:00,2026-04-25 09:25:19
BART010,LAKEM,2026-04-25 09:29:00,2026-04-25 09:29:36
BART010,W OAK,2026-04-25 09:35:00,2026-04-25 09:35:46
BART010,EMBAR,2026-04-25 09:42:00,2026-04-25 09:42:45
BART010,MONTG,2026-04-25 09:43:00,2026-04-25 09:44:56
BART010,POWEL,2026-04-25 09:45:00,2026-04-25 09:47:55
BART010,CIVIC,2026-04-25 09:47:00,2026-04-25 09:50:15
BART010,16ST,2026-04-25 09:49:00,2026-04-25 09:52:16
BART010,24ST,2026-04-25 09:51:00,2026-04-25 09:54:30
BART010,GLNPK,2026-04-25 09:54:00,2026-04-25 09:57:57
BART010,BALPK,2026-04-25 09:56:00,2026-04-25 10:00:56
BART010,DALY,2026-04-25 10:00:00,2026-04-25 10:05:15
BART011,DUBLIN,2026-04-25 09:15:00,2026-04-25 09:15:03
BART011,W DUB,2026-04-25 09:18:00,2026-04-25 09:18:22
BART011,CVLY,2026-04-25 09:29:00,2026-04-25 09:29:12
BART011,BFAIR,2026-04-25 09:33:00,2026-04-25 09:33:21
BART011,SLEAN,2026-04-25 09:37:00,2026-04-25 09:37:21
BART011,COLIS,2026-04-25 09:41:00,2026-04-25 09:41:26
BART011,FRTVL,2026-04-25 09:45:00,2026-04-25 09:45:16
BART011,LAKEM,2026-04-25 09:49:00,2026-04-25 09:49:09
BART011,W OAK,2026-04-25 09:55:00,2026-04-25 09:55:28
BART011,EMBAR,2026-04-25 10:02:00,2026-04-25 10:02:29
BART011,MONTG,2026-04-25 10:03:00,2026-04-25 10:04:21
BART011,POWEL,2026-04-25 10:05:00,2026-04-25 10:06:36
BART011,CIVIC,2026-04-25 10:07:00,2026-04-25 10:09:24
BART011,16ST,2026-04-25 10:09:00,2026-04-25 10:11:44
BART011,24ST,2026-04-25 10:11:00,2026-04-25 10:13:36
BART011,GLNPK,2026-04-25 10:14:00,2026-04-25 10:17:06
BART011,BALPK,2026-04-25 10:16:00,2026-04-25 10:19:52
BART011,DALY,2026-04-25 10:20:00,2026-04-25 10:23:44
BART012,DUBLIN,2026-04-25 09:35:00,2026-04-25 09:35:18
BART012,W DUB,2026-04-25 09:38:00,2026-04-25 09:38:25
BART012,CVLY,2026-04-25 09:49:00,2026-04-25 09:49:39
BART012,BFAIR,2026-04-25 09:53:00,2026-04-25 09:53:33
BART012,SLEAN,2026-04-25 09:57:00,2026-04-25 09:57:27
BART012,COLIS,2026-04-25 10:01:00,2026-04-25 10:01:38
BART012,FRTVL,2026-04-25 10:05:00,2026-04-25 10:05:43
BART012,LAKEM,2026-04-25 10:09:00,2026-04-25 10:10:03
BART012,W OAK,2026-04-25 10:15:00,2026-04-25 10:16:10
BART012,EMBAR,2026-04-25 10:22:00,2026-04-25 10:23:05
BART012,MONTG,2026-04-25 10:23:00,2026-04-25 10:24:51
BART012,POWEL,2026-04-25 10:25:00,2026-04-25 10:28:01
BART012,CIVIC,2026-04-25 10:27:00,2026-04-25 10:30:32
BART012,16ST,2026-04-25 10:29:00,2026-04-25 10:32:51
BART012,24ST,2026-04-25 10:31:00,2026-04-25 10:34:58
BART012,GLNPK,2026-04-25 10:34:00,2026-04-25 10:38:50
BART012,BALPK,2026-04-25 10:36:00,2026-04-25 10:41:23
BART012,DALY,2026-04-25 10:40:00,2026-04-25 10:45:35
BART013,DUBLIN,2026-04-25 09:55:00,2026-04-25 09:54:49
BART013,W DUB,2026-04-25 09:58:00,2026-04-25 09:57:51
BART013,CVLY,2026-04-25 10:09:00,2026-04-25 10:09:02
BART013,BFAIR,2026-04-25 10:13:00,2026-04-25 10:13:12
BART013,SLEAN,2026-04-25 10:17:00,2026-04-25 10:17:13
BART013,COLIS,2026-04-25 10:21:00,2026-04-25 10:21:17
BART013,FRTVL,2026-04-25 10:25:00,2026-04-25 10:25:35
BART013,LAKEM,2026-04-25 10:29:00,2026-04-25 10:29:41
BART013,W OAK,2026-04-25 10:35:00,2026-04-25 10:35:45
BART013,EMBAR,2026-04-25 10:42:00,2026-04-25 10:42:38
BART013,MONTG,2026-04-25 10:43:00,2026-04-25 10:44:04
BART013,POWEL,2026-04-25 10:45:00,2026-04-25 10:46:32
BART013,CIVIC,2026-04-25 10:47:00,2026-04-25 10:49:14
BART013,16ST,2026-04-25 10:49:00,2026-04-25 10:51:21
BART013,24ST,2026-04-25 10:51:00,2026-04-25 10:53:18
BART013,GLNPK,2026-04-25 10:54:00,2026-04-25 10:56:48
BART013,BALPK,2026-04-25 10:56:00,2026-04-25 10:58:55
BART013,DALY,2026-04-25 11:00:00,2026-04-25 11:03:07
BART014,DUBLIN,2026-04-25 10:15:00,2026-04-25 10:15:10
BART014,W DUB,2026-04-25 10:18:00,2026-04-25 10:18:01
BART014,CVLY,2026-04-25 10:29:00,2026-04-25 10:28:58
BART014,BFAIR,2026-04-25 10:33:00,2026-04-25 10:32:50
BART014,SLEAN,2026-04-25 10:37:00,2026-04-25 10:37:08
BART014,COLIS,2026-04-25 10:41:00,2026-04-25 10:40:59
BART014,FRTVL,2026-04-25 10:45:00,2026-04-25 10:45:16
BART014,LAKEM,2026-04-25 10:49:00,2026-04-25 10:49:16
BART014,W OAK,2026-04-25 10:55:00,2026-04-25 10:55:08
BART014,EMBAR,2026-04-25 11:02:00,2026-04-25 11:02:14
BART014,MONTG,2026-04-25 11:03:00,2026-04-25 11:03:43
BART014,POWEL,2026-04-25 11:05:00,2026-04-25 11:06:40
BART014,CIVIC,2026-04-25 11:07:00,2026-04-25 11:09:25
BART014,16ST,2026-04-25 11:09:00,2026-04-25 11:11:19
BART014,24ST,2026-04-25 11:11:00,2026-04-25 11:13:32
BART014,GLNPK,2026-04-25 11:14:00,2026-04-25 11:17:34
BART014,BALPK,2026-04-25 11:16:00,2026-04-25 11:20:15
BART014,DALY,2026-04-25 11:20:00,2026-04-25 11:24:20
BART015,DUBLIN,2026-04-25 10:35:00,2026-04-25 10:34:45
BART015,W DUB,2026-04-25 10:38:00,2026-04-25 10:38:00
BART015,CVLY,2026-04-25 10:49:00,2026-04-25 10:49:05
BART015,BFAIR,2026-04-25 10:53:00,2026-04-25 10:53:20
BART015,SLEAN,2026-04-25 10:57:00,2026-04-25 10:57:23
BART015,COLIS,2026-04-25 11:01:00,2026-04-25 11:01:19
BART015,FRTVL,2026-04-25 11:05:00,2026-04-25 11:05:12
BART015,LAKEM,2026-04-25 11:09:00,2026-04-25 11:09:05
BART015,W OAK,2026-04-25 11:15:00,2026-04-25 11:15:16
BART015,EMBAR,2026-04-25 11:22:00,2026-04-25 11:22:19
BART015,MONTG,2026-04-25 11:23:00,2026-04-25 11:24:02
BART015,POWEL,2026-04-25 11:25:00,2026-04-25 11:26:49
BART015,CIVIC,2026-04-25 11:27:00,2026-04-25 11:29:24
BART015,16ST,2026-04-25 11:29:00,2026-04-25 11:31:35
BART015,24ST,2026-04-25 11:31:00,2026-04-25 11:33:45
BART015,GLNPK,2026-04-25 11:34:00,2026-04-25 11:37:13
BART015,BALPK,2026-04-25 11:36:00,2026-04-25 11:39:31
BART015,DALY,2026-04-25 11:40:00,2026-04-25 11:43:44
BART016,DUBLIN,2026-04-25 10:55:00,2026-04-25 10:54:51
BART016,W DUB,2026-04-25 10:58:00,2026-04-25 10:58:06
BART016,CVLY,2026-04-25 11:09:00,2026-04-25 11:09:23
BART016,BFAIR,2026-04-25 11:13:00,2026-04-25 11:13:16
BART016,SLEAN,2026-04-25 11:17:00,2026-04-25 11:17:13
BART016,COLIS,2026-04-25 11:21:00,2026-04-25 11:21:09
BART016,FRTVL,2026-04-25 11:25:00,2026-04-25 11:25:05
BART016,LAKEM,2026-04-25 11:29:00,2026-04-25 11:29:12
BART016,W OAK,2026-04-25 11:35:00,2026-04-25 11:35:16
BART016,EMBAR,2026-04-25 11:42:00,2026-04-25 11:42:10
BART016,MONTG,2026-04-25 11:43:00,2026-04-25 11:43:39
BART016,POWEL,2026-04-25 11:45:00,2026-04-25 11:46:21
BART016,CIVIC,2026-04-25 11:47:00,2026-04-25 11:48:37
BART016,16ST,2026-04-25 11:49:00,2026-04-25 11:50:41
BART016,24ST,2026-04-25 11:51:00,2026-04-25 11:52:56
BART016,GLNPK,2026-04-25 11:54:00,2026-04-25 11:56:55
BART016,BALPK,2026-04-25 11:56:00,2026-04-25 11:59:20
BART016,DALY,2026-04-25 12:00:00,2026-04-25 12:03:11
BART017,DUBLIN,2026-04-25 11:15:00,2026-04-25 11:15:11
BART017,W DUB,2026-04-25 11:18:00,2026-04-25 11:18:18
BART017,CVLY,2026-04-25 11:29:00,2026-04-25 11:29:34
BART017,BFAIR,2026-04-25 11:33:00,2026-04-25 11:33:24
BART017,SLEAN,2026-04-25 11:37:00,2026-04-25 11:37:16
BART017,COLIS,2026-04-25 11:41:00,2026-04-25 11:41:35
BART017,FRTVL,2026-04-25 11:45:00,2026-04-25 11:45:49
BART017,LAKEM,2026-04-25 11:49:00,2026-04-25 11:50:06
BART017,W OAK,2026-04-25 11:55:00,2026-04-25 11:56:03
BART017,EMBAR,2026-04-25 12:02:00,2026-04-25 12:02:58
BART017,MONTG,2026-04-25 12:03:00,2026-04-25 12:04:47
BART017,POWEL,2026-04-25 12:05:00,2026-04-25 12:07:20
BART017,CIVIC,2026-04-25 12:07:00,2026-04-25 12:10:17
BART017,16ST,2026-04-25 12:09:00,2026-04-25 12:12:35
BART017,24ST,2026-04-25 12:11:00,2026-04-25 12:14:26
BART017,GLNPK,2026-04-25 12:14:00,2026-04-25 12:17:48
BART017,BALPK,2026-04-25 12:16:00,2026-04-25 12:20:05
BART017,DALY,2026-04-25 12:20:00,2026-04-25 12:24:03
BART018,DUBLIN,2026-04-25 11:35:00,2026-04-25 11:35:29
BART018,W DUB,2026-04-25 11:38:00,2026-04-25 11:38:44
BART018,CVLY,2026-04-25 11:49:00,2026-04-25 11:49:59
BART018,BFAIR,2026-04-25 11:53:00,2026-04-25 11:54:03
BART018,SLEAN,2026-04-25 11:57:00,2026-04-25 11:58:02
BART018,COLIS,2026-04-25 12:01:00,2026-04-25 12:02:05
BART018,FRTVL,2026-04-25 12:05:00,2026-04-25 12:06:17
BART018,LAKEM,2026-04-25 12:09:00,2026-04-25 12:10:37
BART018,W OAK,2026-04-25 12:15:00,2026-04-25 12:16:50
BART018,EMBAR,2026-04-25 12:22:00,2026-04-25 12:24:05
BART018,MONTG,2026-04-25 12:23:00,2026-04-25 12:26:09
BART018,POWEL,2026-04-25 12:25:00,2026-04-25 12:29:07
BART018,CIVIC,2026-04-25 12:27:00,2026-04-25 12:31:28
BART018,16ST,2026-04-25 12:29:00,2026-04-25 12:33:27
BART018,24ST,2026-04-25 12:31:00,2026-04-25 12:35:23
BART018,GLNPK,2026-04-25 12:34:00,2026-04-25 12:38:59
BART018,BALPK,2026-04-25 12:36:00,2026-04-25 12:41:45
BART018,DALY,2026-04-25 12:40:00,2026-04-25 12:45:52
BART019,DUBLIN,2026-04-25 11:55:00,2026-04-25 11:54:33
BART019,W DUB,2026-04-25 11:58:00,2026-04-25 11:57:46
BART019,CVLY,2026-04-25 12:09:00,2026-04-25 12:08:46
BART019,BFAIR,2026-04-25 12:13:00,2026-04-25 12:12:37
BART019,SLEAN,2026-04-25 12:17:00,2026-04-25 12:16:28
BART019,COLIS,2026-04-25 12:21:00,2026-04-25 12:20:36
BART019,FRTVL,2026-04-25 12:25:00,2026-04-25 12:24:41
BART019,LAKEM,2026-04-25 12:29:00,2026-04-25 12:28:47
BART019,W OAK,2026-04-25 12:35:00,2026-04-25 12:35:06
BART019,EMBAR,2026-04-25 12:42:00,2026-04-25 12:42:23
BART019,MONTG,2026-04-25 12:43:00,2026-04-25 12:43:54
BART019,POWEL,2026-04-25 12:45:00,2026-04-25 12:46:32
BART019,CIVIC,2026-04-25 12:47:00,2026-04-25 12:48:50
BART019,16ST,2026-04-25 12:49:00,2026-04-25 12:50:42
BART019,24ST,2026-04-25 12:51:00,2026-04-25 12:52:51
BART019,GLNPK,2026-04-25 12:54:00,2026-04-25 12:56:19
BART019,BALPK,2026-04-25 12:56:00,2026-04-25 12:58:58
BART019,DALY,2026-04-25 13:00:00,2026-04-25 13:03:00
BART020,DUBLIN,2026-04-25 12:15:00,2026-04-25 12:14:37
BART020,W DUB,2026-04-25 12:18:00,2026-04-25 12:17:57
BART020,CVLY,2026-04-25 12:29:00,2026-04-25 12:29:15
BART020,BFAIR,2026-04-25 12:33:00,2026-04-25 12:33:23
BART020,SLEAN,2026-04-25 12:37:00,2026-04-25 12:37:20
BART020,COLIS,2026-04-25 12:41:00,2026-04-25 12:41:28
BART020,FRTVL,2026-04-25 12:45:00,2026-04-25 12:45:37
BART020,LAKEM,2026-04-25 12:49:00,2026-04-25 12:49:28
BART020,W OAK,2026-04-25 12:55:00,2026-04-25 12:55:37
BART020,EMBAR,2026-04-25 13:02:00,2026-04-25 13:02:29
BART020,MONTG,2026-04-25 13:03:00,2026-04-25 13:04:29
BART020,POWEL,2026-04-25 13:05:00,2026-04-25 13:07:28
BART020,CIVIC,2026-04-25 13:07:00,2026-04-25 13:10:09
BART020,16ST,2026-04-25 13:09:00,2026-04-25 13:12:28
BART020,24ST,2026-04-25 13:11:00,2026-04-25 13:14:26
BART020,GLNPK,2026-04-25 13:14:00,2026-04-25 13:17:58
BART020,BALPK,2026-04-25 13:16:00,2026-04-25 13:20:35
BART020,DALY,2026-04-25 13:20:00,2026-04-25 13:24:32
BART021,DUBLIN,2026-04-25 12:35:00,2026-04-25 12:34:46
BART021,W DUB,2026-04-25 12:38:00,2026-04-25 12:37:48
BART021,CVLY,2026-04-25 12:49:00,2026-04-25 12:48:42
BART021,BFAIR,2026-04-25 12:53:00,2026-04-25 12:52:53
BART021,SLEAN,2026-04-25 12:57:00,2026-04-25 12:57:03
BART021,COLIS,2026-04-25 13:01:00,2026-04-25 13:01:02
BART021,FRTVL,2026-04-25 13:05:00,2026-04-25 13:05:06
BART021,LAKEM,2026-04-25 13:09:00,2026-04-25 13:09:06
BART021,W OAK,2026-04-25 13:15:00,2026-04-25 13:15:25
BART021,EMBAR,2026-04-25 13:22:00,2026-04-25 13:22:39
BART021,MONTG,2026-04-25 13:23:00,2026-04-25 13:24:17
BART021,POWEL,2026-04-25 13:25:00,2026-04-25 13:26:51
BART021,CIVIC,2026-04-25 13:27:00,2026-04-25 13:29:51
BART021,16ST,2026-04-25 13:29:00,2026-04-25 13:31:44
BART021,24ST,2026-04-25 13:31:00,2026-04-25 13:33:36
BART021,GLNPK,2026-04-25 13:34:00,2026-04-25 13:37:04
BART021,BALPK,2026-04-25 13:36:00,2026-04-25 13:39:33
BART021,DALY,2026-04-25 13:40:00,2026-04-25 13:43:27
BART022,DUBLIN,2026-04-25 12:55:00,2026-04-25 12:55:29
BART022,W DUB,2026-04-25 12:58:00,2026-04-25 12:58:30
BART022,CVLY,2026-04-25 13:09:00,2026-04-25 13:09:48
BART022,BFAIR,2026-04-25 13:13:00,2026-04-25 13:13:40
BART022,SLEAN,2026-04-25 13:17:00,2026-04-25 13:17:58
BART022,COLIS,2026-04-25 13:21:00,2026-04-25 13:21:55
BART022,FRTVL,2026-04-25 13:25:00,2026-04-25 13:25:56
BART022,LAKEM,2026-04-25 13:29:00,2026-04-25 13:29:55
BART022,W OAK,2026-04-25 13:35:00,2026-04-25 13:35:50
BART022,EMBAR,2026-04-25 13:42:00,2026-04-25 13:42:54
BART022,MONTG,2026-04-25 13:43:00,2026-04-25 13:44:59
BART022,POWEL,2026-04-25 13:45:00,2026-04-25 13:47:45
BART022,CIVIC,2026-04-25 13:47:00,2026-04-25 13:50:50
BART022,16ST,2026-04-25 13:49:00,2026-04-25 13:52:56
BART022,24ST,2026-04-25 13:51:00,2026-04-25 13:54:46
BART022,GLNPK,2026-04-25 13:54:00,2026-04-25 13:58:38
BART022,BALPK,2026-04-25 13:56:00,2026-04-25 14:01:09
